Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
21,,"Apr 01, 2025","May 09, 2025",Complete,"EB 127 Ave, 90 St-85 St",127 Avenue NW,90 Street NW,85 Street NW,Directional Closure,1 Month (24/7),Eastbound 127 Ave to be closed from 90 St to 85 St. Westbound 127 Ave to be reduced to a single lane from 85 St to 90 St. Please use other routes.,DRAINAGE REPAIR REPLACE,Construction,Northeast,Road,POINT (-113.47965521851727 53.584846513149024)
26,,"Jun 01, 2023","Nov 14, 2025",Current,111 St NB Lane Closure,111 Street NW,29A Avenue NW,34 Avenue NW,Travel Delays,Long Term Drainage Project,"Starts Thurs, June 1st at 9am. 111 St NB at 29A Av will be reduced to a single lane. The WB 29A Av to NB 111 St Right turn bay will be closed with Right turns banned on red lights. The East crosswalk will be closed with a pedestrian detour in place.",Drainage Shaft,Construction,Southwest,Road and Sidewalk,POINT (-113.51634322270183 53.465892070905994)
415,,"Jul 01, 2025","Jul 01, 2025",Complete,Saskatchewan Dr Closure,Saskatchewan Drive,116 Street NW,111 Street NW,Total Closure,7:00am - 9:00am,"Total closure of Saskatchewan Dr, 111 St - 116 St to accommodate the Canada Day Road Race.",Canada Day Road Race,Construction,Central,Road,POINT (-113.51772413845032 53.526579230602195)
105,,"Apr 14, 2025","Jul 07, 2025",Current,118 Street Closure,118 Street NW,104 Avenue NW,103 Avenue NW,Total Closure,3 Months,"Total closure of 118 St on the south side of 104 Ave. 
For more information, visit marigoldinfra.ca/current-construction-notices/ or Edmonton.ca/projects_plans/transit/valley-line-west",West LRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.52497484601629 53.546214867479605)
579,,"Aug 13, 2025","Aug 14, 2025",Complete,#1 Single lane closure,Whitemud Drive NW,Fox Drive NW,149 Street NW,Travel Delays,2 Days,Aug 13th & 14th  from 9am - 3pm only. #1 Northbound lane closure on Whitemud Drive from Fox Dr - 149 St due to a Pump station Inspection. Speed reduced accordingly. Expect travel delays.,Pump Station Inspection,Construction,Southwest,Road,POINT (-113.56559641293937 53.502879927141066)
387,,"Jul 02, 2025","Nov 30, 2025",Current,231 St Closed,231 Street NW,Secord Road,Rosenthal Boulevard,Total Closure,5 Months,231 St will be closed from July 2 to November 30. Use other routes.,Road Rehab,Construction,Northwest,Road,POINT (-113.71342142501427 53.53228348949716)
257,,"May 29, 2025","May 29, 2025",Complete,,Whitemud Drive NW,53 Avenue NW,,Traffic Incident Delays,Unknown,Traffic Incident Whitemud Drive eastbound - before 53 Ave. Right lane blocked,Traffic Incident,Traffic Incident,,Road,POINT (-113.5304417803415 53.493770973792785)
859,,"Sep 15, 2025","Sep 15, 2025",Current,103 ST Northbound Closure,103 Street NW,100 Avenue NW,Jasper Avenue NW,Directional Closure,One Night,103 ST northbound closed to vehicles between the hours of 21:00-06:00hrs. Local access will be maintained.,Drainage Repairs,Construction,Central,Road,POINT (-113.49738338079794 53.53882879982644)
195,,"May 14, 2025","May 31, 2025",Complete,EB Directional Closure - 100 Ave; 112 St to 113 St,100 Avenue NW,112 Street NW,113 Street NW,Directional Closure,18 Days,"Eastbound directional closure of 100 Ave from 112 St to 113 Street, from May 14th to May 31 for Power Install work. Directional Closure only to be in place during off peak hours. North Sidewalk closure in place for the duration of work.",Power Install,Construction,Central,Road and Sidewalk,POINT (-113.51395010086831 53.53885676803797)
46,,"Apr 17, 2025","Apr 21, 2025",Complete,Turning lane closures,Ellerslie Road SW,141 Street SW,,Travel Delays,4 Days,April 17th at 7pm to April 21st at 6am. 141st Northbound to Ellerslie Rd Eastbound right turning lane closed. Ellerslie Rd Westbound to 141st Southbound left turning lane closed. All turning movements at intersection still maintianed. Expect delays.,Gas Line Install,Construction,Southwest,Road and Sidewalk,POINT (-113.51100764515448 53.424726637541696)
