Hydrant Number,Dome Colour,Flow Rate,Installation Year,Latitude,Longitude,Location,Owner,Nearest Address,Life Cycle Indicator
16396,BLACK,> 95 L/s,1999,53.50299,-113.67124,POINT (-113.67124 53.502995),EPCOR,1743 GLASTONBURY BOULEVARD NW,FAC
3946,GREEN,60-95 L/s,1960,53.50177,-113.54416,POINT (-113.54416 53.50177),EPCOR,6512 124 STREET NW,FAC
16470,BLUE,> 95 L/s,2000,53.62449,-113.48343,POINT (-113.48343 53.62449),EPCOR,16220 92 STREET NW,FAC
25749,BLUE,> 95 L/s,2018,53.58597,-113.67506,POINT (-113.675064 53.58597),EPCOR,20460 128 AVENUE NW,FAC
27397,BLUE,> 95 L/s,2021,53.40499,-113.60282,POINT (-113.60281 53.404995),EPCOR,15808 34 AVENUE SW,CCC
8539,BLACK,> 95 L/s,1978,53.45732,-113.49759,POINT (-113.49759 53.457317),EPCOR,10444 27 AVENUE NW,FAC
21147,BLUE,> 95 L/s,2012,53.44437,-113.38580,POINT (-113.3858 53.444366),EPCOR,3011 17 AVENUE NW,FAC
17962,BLUE,> 95 L/s,2004,53.49358,-113.66977,POINT (-113.66977 53.493584),EPCOR,20220 60 AVENUE NW,FAC
3692,BLUE,> 95 L/s,2019,53.53725,-113.43305,POINT (-113.433044 53.53725),EPCOR,9711 67A STREET NW,FAC
8863,BLACK,> 95 L/s,1976,53.56514,-113.61482,POINT (-113.614815 53.56514),EPCOR,11502 170 STREET NW,FAC
1585,BLACK,> 95 L/s,1986,53.56080,-113.52916,POINT (-113.52916 53.560802),EPCOR,11203 120 STREET NW,FAC
28071,BLACK,> 95 L/s,2022,53.60844,-113.50652,POINT (-113.50652 53.608444),EPCOR,10726 149 AVENUE NW,INSERVICE
307,BLUE,> 95 L/s,2016,53.54308,-113.52597,POINT (-113.52597 53.543083),EPCOR,11833 102 AVENUE NW,FAC
596,BLUE,> 95 L/s,2007,53.53934,-113.57636,POINT (-113.57636 53.53934),EPCOR,10003 148 STREET NW,FAC
14748,BLACK,> 95 L/s,1991,53.64108,-113.49680,POINT (-113.496796 53.641083),EPCOR,9940 178 AVENUE NW,FAC
13891,BLACK,> 95 L/s,2000,53.55260,-113.53840,POINT (-113.53841 53.552605),EPCOR,10804 125 STREET NW,FAC
15785,BLACK,> 95 L/s,1997,53.61071,-113.41644,POINT (-113.41644 53.610714),EPCOR,4823 148 AVENUE NW,FAC
9,BLUE,> 95 L/s,2011,53.54895,-113.47542,POINT (-113.47542 53.54895),EPCOR,10350 92 STREET NW,FAC
5511,BLUE,> 95 L/s,2006,53.59592,-113.46547,POINT (-113.46548 53.59592),EPCOR,13435 81 STREET NW,FAC
22759,BLUE,> 95 L/s,2015,53.55305,-113.51110,POINT (-113.5111 53.55305),EPCOR,11010 108 AVENUE NW,FAC
8865,BLACK,> 95 L/s,1976,53.56830,-113.61482,POINT (-113.614815 53.568302),EPCOR,11703 170 STREET NW,FAC
16714,BLACK,> 95 L/s,2001,53.42130,-113.46892,POINT (-113.46892 53.421303),EPCOR,1218 SUMMERSIDE DRIVE SW,FAC
21057,BLUE,> 95 L/s,2014,53.39730,-113.58121,POINT (-113.58121 53.397297),EPCOR,5444 CHAPPELLE ROAD SW,FAC
15968,BLUE,> 95 L/s,1998,53.62549,-113.46585,POINT (-113.46585 53.625492),EPCOR,16403 81 STREET NW,FAC
7727,BLACK,> 95 L/s,1974,53.46436,-113.49923,POINT (-113.49923 53.464355),EPCOR,10433 31A AVENUE NW,FAC
17748,BLACK,> 95 L/s,2003,53.42679,-113.52214,POINT (-113.52214 53.426796),EPCOR,3996 MCMULLEN GREEN SW,FAC
9587,BLACK,> 95 L/s,1978,53.45711,-113.45044,POINT (-113.45044 53.45711),EPCOR,7813 26 AVENUE NW,FAC
9965,BLUE,> 95 L/s,1978,53.43835,-113.39844,POINT (-113.39844 53.438347),EPCOR,3616 10 AVENUE NW,FAC
19655,BLUE,> 95 L/s,2007,53.42050,-113.44369,POINT (-113.44369 53.4205),EPCOR,1504 67 STREET SW,FAC
18717,BLUE,> 95 L/s,2005,53.53062,-113.69615,POINT (-113.69615 53.530617),EPCOR,21933 94A AVENUE NW,FAC
17354,BLUE,> 95 L/s,2003,53.62469,-113.44208,POINT (-113.442085 53.62469),EPCOR,16316 65 STREET NW,FAC
1226,BLUE,> 95 L/s,1975,53.56390,-113.44145,POINT (-113.44145 53.563904),EPCOR,6725 112 AVENUE NW,FAC
9206,BLACK,> 95 L/s,1977,53.57832,-113.38370,POINT (-113.3837 53.578316),EPCOR,109 WILLIAM HUSTLER CRESCENT NW,FAC
13199,BLUE,> 95 L/s,1986,53.47558,-113.56783,POINT (-113.567825 53.47558),EPCOR,237 BURTON ROAD NW,FAC
27572,BLUE,> 95 L/s,2021,53.41528,-113.62624,POINT (-113.626236 53.415276),EPCOR,4958 KINNEY ROAD SW,INSERVICE
329,GREEN,60-95 L/s,1990,53.56894,-113.47583,POINT (-113.47583 53.568935),EPCOR,8708 117 AVENUE NW,FAC
17648,BLUE,> 95 L/s,2003,53.62468,-113.54828,POINT (-113.54829 53.624683),EPCOR,13030 162A AVENUE NW,FAC
26569,BLUE,> 95 L/s,2018,53.34907,-113.55862,POINT (-113.558624 53.349068),EPCOR,9245 135 STREET SW,FAC
4642,BLUE,> 95 L/s,2006,53.48544,-113.52026,POINT (-113.520256 53.485443),EPCOR,11132 48 AVENUE NW,FAC
22350,BLUE,> 95 L/s,2013,53.63496,-113.52963,POINT (-113.52963 53.634964),EPCOR,12012 173 AVENUE NW,FAC
6423,BLUE,> 95 L/s,1969,53.61100,-113.48191,POINT (-113.48191 53.611004),EPCOR,15003 92 STREET NW,FAC
6117,BLUE,> 95 L/s,1968,53.50979,-113.59306,POINT (-113.59306 53.509792),EPCOR,7711 158 STREET NW,FAC
22431,BLUE,> 95 L/s,2013,53.40425,-113.53767,POINT (-113.537674 53.404247),EPCOR,3005 JAMES MOWATT TRAIL SW,FAC
23545,BLUE,> 95 L/s,2022,53.41229,-113.57130,POINT (-113.571304 53.41229),EPCOR,14262 28 AVENUE SW,INSERVICE
27623,BLUE,> 95 L/s,2021,53.58843,-113.68507,POINT (-113.685074 53.588425),EPCOR,2383 TRUMPETER WAY NW,CCC
16968,BLACK,> 95 L/s,2002,53.45936,-113.55884,POINT (-113.55884 53.459362),EPCOR,440 HODGSON BOULEVARD NW,FAC
13493,BLUE,> 95 L/s,1987,53.46904,-113.57000,POINT (-113.57 53.469036),EPCOR,931 BURLEY DRIVE NW,FAC
5959,BLACK,> 95 L/s,1967,53.47224,-113.51049,POINT (-113.51049 53.472244),EPCOR,10803 37 AVENUE NW,FAC
22956,BLUE,> 95 L/s,2014,53.52337,-113.46398,POINT (-113.46398 53.523376),EPCOR,8572 89 STREET NW,FAC
18052,BLUE,> 95 L/s,2004,53.54656,-113.64544,POINT (-113.64545 53.54656),EPCOR,18562 104 AVENUE NW,FAC
92,BLUE,> 95 L/s,2019,53.54608,-113.51488,POINT (-113.514885 53.546078),EPCOR,100 MACEWAN ARTS/112 STREET STOP NW,FAC
23562,BLUE,> 95 L/s,2014,53.42117,-113.49802,POINT (-113.49802 53.421165),EPCOR,1074 103A STREET SW,FAC
17509,BLACK,> 95 L/s,2003,53.43017,-113.46206,POINT (-113.46206 53.430164),EPCOR,322 84 STREET SW,FAC
7980,BLACK,> 95 L/s,1975,53.52421,-113.64279,POINT (-113.64279 53.524216),EPCOR,18415 90 AVENUE NW,FAC
11413,BLACK,> 95 L/s,1981,53.47871,-113.58701,POINT (-113.587006 53.478714),EPCOR,930 RICE ROAD NW,FAC
497,BLUE,> 95 L/s,2009,53.54442,-113.49910,POINT (-113.4991 53.544426),EPCOR,10255 104 STREET NW,FAC
21229,BLUE,> 95 L/s,2011,53.57599,-113.55796,POINT (-113.55796 53.575993),EPCOR,13510 DOVERCOURT AVENUE NW,FAC
10576,BLUE,> 95 L/s,1979,53.45533,-113.52159,POINT (-113.52158 53.455334),EPCOR,11203 23B AVENUE NW,FAC
14391,BLUE,> 95 L/s,1990,53.50154,-113.51506,POINT (-113.51505 53.501537),EPCOR,11003 65 AVENUE NW,FAC
4194,BLUE,> 95 L/s,1961,53.48706,-113.50778,POINT (-113.50778 53.48706),EPCOR,4825 107 STREET NW,FAC
4248,BLUE,> 95 L/s,1980,53.49417,-113.51858,POINT (-113.51858 53.49417),EPCOR,11110 57 AVENUE NW,FAC
5017,BLUE,> 95 L/s,1994,53.52467,-113.60139,POINT (-113.601395 53.52467),EPCOR,8906 162 STREET NW,FAC
12254,BLACK,> 95 L/s,1900,53.51319,-113.36415,POINT (-113.36415 53.51319),EPCOR,1312 77 AVENUE NW,FAC
4203,BLUE,> 95 L/s,1999,53.49112,-113.51793,POINT (-113.51794 53.491123),EPCOR,5407 111A STREET NW,FAC
7004,BLUE,> 95 L/s,1973,53.47941,-113.45872,POINT (-113.458725 53.47941),EPCOR,2301 MILLBOURNE ROAD WEST NW,FAC
161,BLACK,> 95 L/s,1998,53.54309,-113.47518,POINT (-113.47518 53.54309),EPCOR,10074 94 STREET NW,FAC
13347,BLUE,> 95 L/s,1987,53.49284,-113.60894,POINT (-113.60895 53.492836),EPCOR,779 WHEELER ROAD WEST NW,FAC
25150,BLUE,> 95 L/s,2017,53.52136,-113.70043,POINT (-113.70043 53.521355),EPCOR,8731 223 STREET NW,FAC
16507,BLACK,> 95 L/s,2000,53.58483,-113.55495,POINT (-113.554955 53.58483),EPCOR,273 DUNVEGAN ROAD NW,FAC
18143,BLUE,> 95 L/s,2005,53.63149,-113.45820,POINT (-113.4582 53.631493),EPCOR,17003 76 STREET NW,FAC
16454,BLACK,> 95 L/s,2001,53.50105,-113.50182,POINT (-113.501816 53.50105),EPCOR,6327 105A STREET NW,FAC
14815,BLACK,> 95 L/s,1992,53.46898,-113.38763,POINT (-113.38763 53.46898),EPCOR,3619 31 STREET NW,FAC
18832,BLUE,> 95 L/s,2006,53.42391,-113.51682,POINT (-113.51682 53.42391),EPCOR,11103 ELLERSLIE ROAD SW,FAC
674,YELLOW,> 95 L/s,1978,53.59062,-113.44055,POINT (-113.44055 53.590622),EPCOR,6418 131 AVENUE NW,FAC
7758,BLACK,> 95 L/s,1975,53.58405,-113.39568,POINT (-113.39568 53.58405),EPCOR,1259 HOOKE ROAD NW,FAC
5039,BLUE,> 95 L/s,1991,53.52408,-113.59611,POINT (-113.596115 53.52408),EPCOR,15811 89 AVENUE NW,FAC
18516,BLUE,> 95 L/s,2005,53.42171,-113.52778,POINT (-113.52778 53.421715),EPCOR,1315 118A STREET SW,FAC
6905,BLACK,> 95 L/s,1972,53.46578,-113.44575,POINT (-113.44575 53.465782),EPCOR,287 LEE RIDGE ROAD NW,FAC
1253,BLUE,> 95 L/s,1996,53.56046,-113.45205,POINT (-113.45205 53.560463),EPCOR,7503 111 AVENUE NW,FAC
14931,BLUE,> 95 L/s,1992,53.49979,-113.48353,POINT (-113.483536 53.49979),EPCOR,9803 63 AVENUE NW,FAC
581,GREEN,60-95 L/s,1980,53.54077,-113.52690,POINT (-113.5269 53.540768),EPCOR,10032 119 STREET NW,FAC
5824,BLUE,> 95 L/s,1966,53.47112,-113.52751,POINT (-113.52751 53.47112),EPCOR,11355 37 AVENUE NW,FAC
5170,BLUE,> 95 L/s,2023,53.51367,-113.59112,POINT (-113.591125 53.51367),EPCOR,15612 80 AVENUE NW,FAC
4350,BLUE,> 95 L/s,1900,53.56775,-113.39653,POINT (-113.39653 53.56775),EPCOR,3602 115 AVENUE NW,FAC
3574,BLUE,> 95 L/s,1989,53.50471,-113.44765,POINT (-113.44765 53.504707),EPCOR,7940 CORONET ROAD NW,FAC
9125,BLACK,> 95 L/s,1977,53.47842,-113.47520,POINT (-113.475204 53.478424),EPCOR,4175 95 STREET NW,FAC
11299,BLACK,> 95 L/s,1986,53.54126,-113.62092,POINT (-113.62092 53.541264),EPCOR,17311 STONY PLAIN ROAD NW,FAC
15034,BLACK,> 95 L/s,1992,53.61806,-113.42140,POINT (-113.4214 53.61806),EPCOR,5319 156 AVENUE NW,FAC
4029,GREEN,60-95 L/s,1960,53.54160,-113.43699,POINT (-113.43699 53.5416),EPCOR,10110 71 STREET NW,FAC
12921,BLUE,> 95 L/s,1985,53.46535,-113.56447,POINT (-113.564476 53.46535),EPCOR,262 OMAND DRIVE NW,FAC
2761,BLUE,> 95 L/s,2017,53.57499,-113.42619,POINT (-113.426186 53.574993),EPCOR,12044 55 STREET NW,FAC
